placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0122,40,1.2127,0.1903,1.1613,0.0002,0.0512
0122,80,2.3596,0.3359,2.3385,0.0001,0.0209
0123,5,0.2764,0.0449,0.2648,0.0003,0.0113
0123,10,0.395,0.0627,0.3794,0.0003,0.0153
0123,20,0.6226,0.1233,0.6043,0.0002,0.0181
0123,40,1.1737,0.2159,1.1547,0.0002,0.0189
0123,80,2.5606,0.3627,2.4693,0.0005,0.0909
0124,5,0.2906,0.0537,0.2758,0.0003,0.0146
0124,10,0.4024,0.0689,0.3895,0.0003,0.0126
0124,20,0.6142,0.1156,0.5974,0.0002,0.0167
0124,40,1.1929,0.2381,1.1703,0.0002,0.0225
0124,80,2.659,0.3671,2.5138,0.0005,0.1447
0133,5,0.2856,0.0504,0.2672,0.0003,0.0181
0133,10,0.4063,0.0702,0.3862,0.0003,0.0198
0133,20,0.6397,0.1135,0.6035,0.0002,0.036
0133,40,1.1785,0.2361,1.1584,0.0002,0.02
0133,80,2.5333,0.3659,2.4851,0.0005,0.0477
0134,5,0.28,0.0427,0.2674,0.0003,0.0122
0134,10,0.4198,0.0783,0.4042,0.0003,0.0153
0134,20,0.6514,0.1249,0.6251,0.0002,0.0261
0134,40,1.277,0.2535,1.2084,0.0002,0.0684
0134,80,2.6461,0.414,2.5428,0.0005,0.1028
0144,5,0.2938,0.0569,0.284,0.0003,0.0096
0144,10,0.4316,0.086,0.4097,0.0003,0.0216
0144,20,0.6536,0.1414,0.6314,0.0002,0.022
0144,40,1.1689,0.1994,1.1504,0.0001,0.0183
0222,5,0.2795,0.0448,0.2709,0.0003,0.0083
0222,10,0.396,0.0588,0.3846,0.0003,0.0111
0222,20,0.6593,0.1226,0.6184,0.0002,0.0408
0222,40,1.2276,0.2139,1.1753,0.0002,0.0522
0222,80,2.5065,0.3328,2.4138,0.0004,0.0923
0223,5,0.2859,0.0533,0.2747,0.0003,0.0109
0223,10,0.4051,0.0668,0.3871,0.0003,0.0177
0223,20,0.6288,0.1212,0.6088,0.0001,0.0199
0223,40,1.197,0.2257,1.1624,0.0002,0.0345
0223,80,2.6397,0.3596,2.4989,0.0005,0.1402
0224,5,0.2812,0.0411,0.2702,0.0003,0.0106
0224,10,0.4243,0.0762,0.4041,0.0003,0.0199
0224,20,0.6174,0.1144,0.6059,0.0001,0.0114
0224,40,1.2094,0.2448,1.1911,0.0002,0.0181
0224,80,2.5788,0.4087,2.5208,0.0005,0.0576
0233,5,0.2759,0.043,0.265,0.0003,0.0107
0233,10,0.4133,0.0731,0.3948,0.0003,0.0183
0233,20,0.6375,0.1218,0.6147,0.0002,0.0226
0233,40,1.2004,0.2465,1.1793,0.0001,0.0209
0233,80,2.6124,0.4014,2.5164,0.0005,0.0955
0234,5,0.2895,0.0498,0.2757,0.0003,0.0136
0234,10,0.4226,0.0836,0.4073,0.0003,0.015
0234,20,0.6721,0.1424,0.6393,0.0002,0.0326
0234,40,1.1609,0.1875,1.1371,0.0002,0.0237
0244,5,0.2901,0.0523,0.2769,0.0003,0.013
0244,10,0.4333,0.0766,0.4061,0.0002,0.0271
0244,20,0.6787,0.1413,0.6354,0.0002,0.0432
0244,40,1.2259,0.2358,1.201,0.0002,0.0248
0333,5,0.2797,0.0498,0.2713,0.0003,0.0081
0333,10,0.4096,0.0839,0.4006,0.0002,0.0088
0333,20,0.6621,0.143,0.6379,0.0002,0.0241
0333,40,1.2349,0.1911,1.1512,0.0002,0.0835
0334,5,0.2883,0.0538,0.2755,0.0003,0.0125
0334,10,0.3967,0.0722,0.386,0.0001,0.0106
0334,20,0.6363,0.1296,0.6213,0.0001,0.0148
0334,40,1.2731,0.2329,1.2041,0.0002,0.0689
0344,5,0.2894,0.054,0.2775,0.0003,0.0116
0344,10,0.4346,0.0934,0.4151,0.0001,0.0194
0344,20,0.659,0.125,0.6167,0.0002,0.0421
0344,40,1.2433,0.2372,1.2124,0.0003,0.0306
0444,5,0.3108,0.0671,0.2944,0.0003,0.0161
0444,10,0.4401,0.0919,0.4164,0.0002,0.0236
0444,20,0.7068,0.156,0.6641,0.0002,0.0424
0444,40,1.2593,0.2655,1.2355,0.0003,0.0234
1111,5,0.2418,0.0314,0.2331,0.0002,0.0084
1111,10,0.338,0.0347,0.332,0.0002,0.0057
1111,20,0.6092,0.0928,0.5777,0.0002,0.0313
1111,40,1.0758,0.1365,1.0632,0.0001,0.0124
1111,80,2.29,0.3118,2.2635,0.0001,0.0264
1112,5,0.2629,0.0454,0.256,0.0003,0.0065
1112,10,0.391,0.0572,0.3717,0.0002,0.0191
1112,20,0.5849,0.0914,0.5712,0.0002,0.0135
1112,40,1.1255,0.185,1.1122,0.0001,0.0131
1112,80,2.4928,0.3415,2.3636,0.0002,0.1291
1113,5,0.2677,0.0455,0.2598,0.0003,0.0077
1113,10,0.392,0.0618,0.3716,0.0002,0.0202
1113,20,0.6436,0.1228,0.6049,0.0001,0.0386
1113,40,1.2616,0.2254,1.1973,0.0002,0.0641
1113,80,2.5041,0.3562,2.437,0.0004,0.0667
1114,5,0.2904,0.057,0.2763,0.0003,0.0138
1114,10,0.3954,0.07,0.3836,0.0003,0.0115
1114,20,0.6156,0.121,0.6015,0.0002,0.014
1114,40,1.1902,0.2346,1.1674,0.0002,0.0226
1114,80,2.6166,0.3677,2.5143,0.0005,0.1018
1122,5,0.2749,0.0463,0.2653,0.0002,0.0093
1122,10,0.4059,0.0668,0.3867,0.0002,0.019
1122,20,0.6298,0.1322,0.6148,0.0001,0.0148
1122,40,1.2357,0.2157,1.189,0.0002,0.0465
1122,80,2.4494,0.3469,2.4161,0.0004,0.0329
1123,5,0.277,0.0513,0.2669,0.0002,0.0098
1123,10,0.3911,0.0657,0.3816,0.0003,0.0092
1123,20,0.6342,0.115,0.5995,0.0001,0.0346
1123,40,1.1971,0.2317,1.1665,0.0002,0.0304
1123,80,2.5369,0.3589,2.4745,0.0004,0.062
1124,5,0.2746,0.0447,0.2661,0.0003,0.0083
1124,10,0.4171,0.0769,0.3989,0.0003,0.0179
1124,20,0.652,0.121,0.6173,0.0002,0.0345
1124,40,1.1922,0.2455,1.1724,0.0001,0.0196
1124,80,2.6906,0.3952,2.5192,0.0005,0.1709
1133,5,0.278,0.0465,0.264,0.0003,0.0137
1133,10,0.4228,0.0799,0.4026,0.0003,0.02
1133,20,0.6347,0.1271,0.6092,0.0002,0.0254
1133,40,1.2282,0.2445,1.1737,0.0002,0.0543
1133,80,2.5588,0.3981,2.4925,0.0004,0.0659
1134,5,0.2904,0.0535,0.2781,0.0005,0.0118
1134,10,0.4289,0.0914,0.4095,0.0002,0.0192
1134,20,0.645,0.1403,0.6294,0.0002,0.0154
1134,40,1.252,0.2036,1.1783,0.0002,0.0736
1144,5,0.2872,0.053,0.274,0.0003,0.013
1144,10,0.4108,0.074,0.3924,0.0002,0.0182
1144,20,0.6648,0.1325,0.626,0.0002,0.0386
1144,40,1.2659,0.2396,1.2016,0.0002,0.0641
1222,5,0.2797,0.0517,0.2719,0.0002,0.0075
1222,10,0.4022,0.0697,0.3893,0.0003,0.0127
1222,20,0.651,0.1207,0.6155,0.0002,0.0353
1222,40,1.2198,0.2218,1.1709,0.0002,0.0487
1222,80,2.6714,0.3682,2.5015,0.0005,0.1694
1223,5,0.2749,0.0447,0.2668,0.0003,0.0079
1223,10,0.4114,0.0767,0.3967,0.0002,0.0145
1223,20,0.6201,0.1226,0.6072,0.0002,0.0127
1223,40,1.1916,0.2431,1.1713,0.0001,0.0202
1223,80,2.6304,0.389,2.5066,0.0005,0.1232
1224,5,0.3006,0.0613,0.2888,0.0003,0.0116
1224,10,0.4321,0.0848,0.4103,0.0003,0.0215
1224,20,0.6508,0.1398,0.636,0.0002,0.0147
1224,40,1.1763,0.1879,1.1357,0.0002,0.0403
1233,5,0.2876,0.0522,0.2739,0.0003,0.0134
1233,10,0.4217,0.0844,0.401,0.0002,0.0205
1233,20,0.6562,0.1449,0.6318,0.0002,0.0243
1233,40,1.1628,0.1875,1.1296,0.0002,0.0331
1234,5,0.2868,0.0569,0.2774,0.0003,0.0091
1234,10,0.4143,0.0821,0.3985,0.0001,0.0156
1234,20,0.6445,0.1421,0.6302,0.0002,0.0141
1234,40,1.2031,0.2335,1.1846,0.0001,0.0184
1244,5,0.2924,0.0547,0.279,0.0003,0.0131
1244,10,0.4328,0.094,0.4158,0.0002,0.0168
1244,20,0.6659,0.1316,0.6233,0.0002,0.0425
1244,40,1.2906,0.2303,1.2022,0.0003,0.0881
1333,5,0.2851,0.0556,0.273,0.0003,0.0118
1333,10,0.4034,0.0787,0.3922,0.0002,0.0111
1333,20,0.6489,0.1444,0.6311,0.0001,0.0176
1333,40,1.279,0.2414,1.2014,0.0002,0.0774
1334,5,0.2945,0.0568,0.2776,0.0003,0.0166
1334,10,0.4175,0.0909,0.4051,0.0002,0.0123
1334,20,0.6263,0.1273,0.6074,0.0001,0.0188
1334,40,1.2355,0.2304,1.2092,0.0003,0.026
1344,5,0.2991,0.0664,0.2877,0.0003,0.0112
1344,10,0.4363,0.0946,0.4138,0.0002,0.0223
1344,20,0.6898,0.1488,0.6493,0.0002,0.0403
1344,40,1.3316,0.2768,1.2524,0.0003,0.0789
1444,5,0.2939,0.0597,0.2824,0.0003,0.0112
1444,10,0.4316,0.0898,0.4128,0.0002,0.0186
1444,20,0.6923,0.1482,0.6433,0.0002,0.0488
1444,40,1.3365,0.2529,1.2498,0.0003,0.0863
2222,5,0.2835,0.0418,0.271,0.0003,0.0121
2222,10,0.4292,0.0752,0.4077,0.0003,0.0213
2222,20,0.6698,0.122,0.6322,0.0002,0.0374
2222,40,1.2312,0.2405,1.1897,0.0002,0.0413
2222,80,2.6265,0.3819,2.5002,0.0006,0.1257
2223,5,0.2978,0.0552,0.285,0.0004,0.0125
2223,10,0.4105,0.0816,0.3993,0.0003,0.0109
2223,20,0.654,0.1379,0.6299,0.0001,0.0239
2223,40,1.2029,0.1864,1.1372,0.0002,0.0655
2224,5,0.2986,0.0546,0.2826,0.0003,0.0157
2224,10,0.4225,0.0748,0.3984,0.0002,0.0239
2224,20,0.6684,0.1334,0.6322,0.0002,0.0359
2224,40,1.2986,0.2349,1.223,0.0003,0.0753
2233,5,0.2874,0.0529,0.2747,0.0003,0.0124
2233,10,0.4013,0.0751,0.3912,0.0002,0.0099
2233,20,0.6816,0.1414,0.6392,0.0002,0.0422
2233,40,1.2721,0.2372,1.2024,0.0002,0.0694
2234,5,0.2862,0.0505,0.2738,0.0003,0.0122
2234,10,0.4301,0.0904,0.4104,0.0002,0.0196
2234,20,0.6708,0.128,0.6264,0.0002,0.0442
2234,40,1.2177,0.2264,1.1962,0.0003,0.0212
2244,5,0.3103,0.0647,0.2931,0.0003,0.0169
2244,10,0.4306,0.0934,0.4136,0.0001,0.0169
2244,20,0.6818,0.1539,0.6496,0.0002,0.0321
2244,40,1.2514,0.2574,1.2261,0.0003,0.025
2333,5,0.2876,0.0527,0.2729,0.0003,0.0144
2333,10,0.423,0.0817,0.3986,0.0002,0.0243
2333,20,0.6669,0.1369,0.6225,0.0002,0.0443
2333,40,1.2146,0.2286,1.1912,0.0003,0.0232
2334,5,0.3049,0.0644,0.2874,0.0003,0.0172
2334,10,0.4257,0.0924,0.4081,0.0002,0.0175
2334,20,0.6963,0.1566,0.6517,0.0002,0.0444
2334,40,1.3173,0.2647,1.2364,0.0003,0.0806
2344,5,0.2948,0.0608,0.2844,0.0003,0.01
2344,10,0.4261,0.0913,0.4124,0.0002,0.0135
2344,20,0.6632,0.1454,0.6376,0.0002,0.0254
2344,40,1.2792,0.2519,1.2324,0.0003,0.0464
2444,5,0.2976,0.062,0.2867,0.0003,0.0106
2444,10,0.4386,0.0895,0.4129,0.0002,0.0255
2444,20,0.7081,0.1541,0.6558,0.0002,0.0522
2444,40,1.3026,0.2538,1.251,0.0004,0.0513
3333,5,0.2921,0.0639,0.2815,0.0002,0.0103
3333,10,0.4299,0.0931,0.4095,0.0001,0.0203
3333,20,0.668,0.1557,0.6451,0.0001,0.0227
3333,40,1.3413,0.2643,1.253,0.0003,0.0879
3334,5,0.2924,0.0626,0.2807,0.0003,0.0115
3334,10,0.4319,0.0894,0.4078,0.0002,0.0239
3334,20,0.6803,0.1466,0.6394,0.0002,0.0408
3334,40,1.2864,0.2318,1.2142,0.0003,0.0719
3344,5,0.2943,0.0629,0.2847,0.0003,0.0093
3344,10,0.432,0.0911,0.4117,0.0002,0.0201
3344,20,0.6904,0.1535,0.648,0.0002,0.0423
3344,40,1.344,0.2607,1.2653,0.0003,0.0783
3444,5,0.3029,0.0639,0.2891,0.0003,0.0135
3444,10,0.4315,0.0852,0.4077,0.0002,0.0236
3444,20,0.6611,0.1276,0.6185,0.0002,0.0424
3444,40,1.3389,0.2563,1.2552,0.0003,0.0834
4444,5,0.3105,0.0702,0.2965,0.0003,0.0137
4444,10,0.4258,0.0872,0.4111,0.0002,0.0146
4444,20,0.7092,0.1728,0.6692,0.0002,0.0398
4444,40,1.3521,0.2857,1.2786,0.0003,0.0731
