placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0112,6,0.3022,0.0908,0.2954,0.0002,0.0066
0112,8,0.3508,0.091,0.3416,0.0002,0.009
0112,12,0.4255,0.0821,0.4184,0.0002,0.0069
0113,2,0.2239,0.113,0.2154,0.0002,0.0083
0113,3,0.2339,0.1065,0.2285,0.0002,0.0052
0113,4,0.2473,0.0899,0.2408,0.0002,0.0063
0113,6,0.2781,0.0743,0.2703,0.0002,0.0076
0113,8,0.3222,0.0752,0.315,0.0002,0.007
0113,12,0.408,0.068,0.3994,0.0003,0.0083
0114,2,0.2223,0.1092,0.2154,0.0002,0.0067
0114,3,0.2352,0.1035,0.2279,0.0002,0.007
0114,4,0.2546,0.0923,0.2469,0.0002,0.0074
0114,6,0.2906,0.0757,0.2797,0.0002,0.0107
0114,8,0.3278,0.0742,0.322,0.0003,0.0056
0114,12,0.412,0.0703,0.4047,0.0003,0.0071
0122,2,0.2421,0.124,0.233,0.0002,0.0089
0122,3,0.2567,0.1179,0.2482,0.0002,0.0083
0122,4,0.2787,0.1103,0.2718,0.0002,0.0067
0122,6,0.3118,0.0957,0.3053,0.0003,0.0062
0122,8,0.3607,0.1,0.3521,0.0002,0.0083
0122,12,0.4393,0.093,0.4342,0.0003,0.0048
0123,2,0.2541,0.1404,0.2465,0.0002,0.0074
0123,3,0.2658,0.1354,0.26,0.0002,0.0057
0123,4,0.2771,0.1171,0.2711,0.0002,0.0058
0123,6,0.3021,0.0937,0.2964,0.0002,0.0055
0123,8,0.3446,0.09,0.3382,0.0003,0.0061
0123,12,0.4285,0.0824,0.4187,0.0003,0.0095
0124,2,0.2297,0.1123,0.2236,0.0002,0.0059
0124,3,0.2479,0.1107,0.2396,0.0002,0.0081
0124,4,0.2563,0.0863,0.2483,0.0002,0.0078
0124,6,0.2987,0.0801,0.2873,0.0002,0.0112
0124,8,0.3357,0.0731,0.3249,0.0002,0.0105
0124,12,0.4137,0.0684,0.4074,0.0003,0.0061
0133,2,0.2261,0.1081,0.2167,0.0002,0.0092
0133,3,0.2334,0.1032,0.2282,0.0002,0.005
0133,4,0.2445,0.0822,0.2376,0.0002,0.0067
0133,6,0.2893,0.0773,0.2782,0.0003,0.0108
0133,8,0.3232,0.0713,0.3159,0.0002,0.0071
0133,12,0.4011,0.0643,0.3951,0.0002,0.0057
0134,2,0.2187,0.0969,0.2083,0.0002,0.0102
0134,3,0.2268,0.0854,0.2162,0.0003,0.0104
0134,4,0.2363,0.0697,0.2308,0.0002,0.0053
0134,6,0.27,0.0544,0.2614,0.0003,0.0083
0134,8,0.3153,0.0564,0.3052,0.0002,0.0098
0134,12,0.3915,0.0501,0.384,0.0003,0.0072
0144,2,0.2104,0.0879,0.2049,0.0002,0.0054
0144,3,0.2235,0.0827,0.2157,0.0002,0.0076
0144,4,0.2398,0.0665,0.2319,0.0002,0.0076
0144,6,0.2689,0.0478,0.2586,0.0003,0.01
0144,8,0.3094,0.05,0.3002,0.0003,0.0089
0144,12,0.3955,0.0492,0.3838,0.0003,0.0114
0222,2,0.2999,0.173,0.2907,0.0002,0.0089
0222,3,0.3192,0.168,0.3083,0.0002,0.0106
0222,4,0.3236,0.145,0.3147,0.0002,0.0087
0222,6,0.3429,0.1172,0.3345,0.0003,0.0081
0222,8,0.3997,0.1232,0.3884,0.0003,0.011
0222,12,0.4802,0.1192,0.4729,0.0003,0.0071
0223,2,0.3124,0.1874,0.3022,0.0002,0.0101
0223,3,0.3215,0.1792,0.313,0.0002,0.0083
0223,4,0.3448,0.1705,0.3372,0.0003,0.0074
0223,6,0.3423,0.1238,0.3347,0.0003,0.0074
0223,8,0.4176,0.1446,0.4063,0.0002,0.0111
0223,12,0.494,0.138,0.4866,0.0003,0.0071
0224,2,0.3094,0.1856,0.3007,0.0003,0.0084
0224,3,0.3216,0.177,0.3082,0.0002,0.0132
0224,4,0.3383,0.1653,0.3309,0.0002,0.0072
0224,6,0.3409,0.1209,0.3317,0.0003,0.0089
0224,8,0.406,0.1375,0.3968,0.0003,0.009
0224,12,0.4792,0.1207,0.4656,0.0003,0.0133
0233,2,0.299,0.1803,0.2912,0.0003,0.0075
0233,3,0.3128,0.1771,0.3053,0.0002,0.0072
0233,4,0.3303,0.1568,0.3169,0.0003,0.0131
0233,6,0.3345,0.1198,0.3268,0.0002,0.0075
0233,8,0.3982,0.1342,0.3895,0.0003,0.0085
0233,12,0.4673,0.1194,0.4594,0.0003,0.0076
0234,2,0.3003,0.1781,0.2879,0.0003,0.0121
0234,3,0.3108,0.1736,0.3019,0.0002,0.0087
0234,4,0.3212,0.1537,0.3135,0.0003,0.0075
0234,6,0.3342,0.1161,0.3233,0.0002,0.0106
0234,8,0.3896,0.1242,0.376,0.0003,0.0134
0234,12,0.4622,0.1143,0.4545,0.0003,0.0074
0244,2,0.2859,0.1665,0.2756,0.0003,0.0101
0244,3,0.2998,0.1611,0.2882,0.0002,0.0114
0244,4,0.3175,0.1411,0.3017,0.0003,0.0155
0244,6,0.3304,0.1145,0.3206,0.0003,0.0095
0244,8,0.3827,0.1164,0.3698,0.0003,0.0125
0244,12,0.4548,0.1027,0.4417,0.0003,0.0128
0333,2,0.2836,0.1682,0.2739,0.0003,0.0094
0333,3,0.3053,0.1694,0.2956,0.0002,0.0095
0333,4,0.3106,0.1471,0.3022,0.0002,0.0082
0333,6,0.3215,0.1134,0.3135,0.0002,0.0078
0333,8,0.3789,0.1246,0.3717,0.0003,0.007
0333,12,0.4478,0.1035,0.4378,0.0003,0.0098
0334,2,0.2863,0.1676,0.2749,0.0003,0.0111
0334,3,0.2966,0.1609,0.2862,0.0002,0.0101
0334,4,0.307,0.1406,0.2962,0.0002,0.0106
0334,6,0.3203,0.1055,0.3068,0.0003,0.0132
0334,8,0.3779,0.1145,0.3638,0.0003,0.0138
0334,12,0.4481,0.0942,0.4298,0.0003,0.018
0344,2,0.2774,0.1641,0.269,0.0002,0.0081
0344,3,0.2938,0.1543,0.2801,0.0003,0.0134
0344,4,0.3017,0.1385,0.2936,0.0003,0.0078
0344,6,0.3176,0.1027,0.3072,0.0003,0.01
0344,8,0.3702,0.1086,0.3583,0.0003,0.0116
0344,12,0.4389,0.0905,0.4254,0.0003,0.0132
0444,2,0.275,0.1576,0.2651,0.0002,0.0097
0444,3,0.2952,0.1568,0.284,0.0002,0.0109
0444,4,0.3122,0.1447,0.2992,0.0002,0.0127
0444,6,0.3253,0.1109,0.3161,0.0002,0.009
0444,8,0.3761,0.1172,0.3651,0.0003,0.0108
0444,12,0.4569,0.1055,0.4403,0.0003,0.0163
1111,2,0.1275,0.0342,0.1239,0.0002,0.0035
1111,3,0.1436,0.0301,0.1387,0.0002,0.0047
1111,4,0.1575,0.0211,0.1529,0.0002,0.0044
1111,6,0.2026,0.0219,0.1976,0.0002,0.0048
1111,8,0.2529,0.0241,0.244,0.0002,0.0087
1111,12,0.3378,0.025,0.3333,0.0002,0.0043
1112,2,0.195,0.0913,0.1887,0.0002,0.0061
1112,3,0.2081,0.0845,0.201,0.0002,0.007
1112,4,0.2178,0.0693,0.2124,0.0002,0.0052
1112,6,0.2502,0.0572,0.2441,0.0002,0.0059
1112,8,0.2864,0.0523,0.2808,0.0002,0.0054
1112,12,0.3742,0.0504,0.3678,0.0002,0.0062
1113,2,0.2035,0.0983,0.194,0.0002,0.0092
1113,3,0.212,0.0914,0.2059,0.0002,0.0059
1113,4,0.2265,0.0782,0.2183,0.0002,0.008
1113,6,0.2545,0.0622,0.2462,0.0002,0.0081
1113,8,0.2897,0.0561,0.2851,0.0002,0.0045
1113,12,0.3722,0.0494,0.3639,0.0002,0.0081
1114,2,0.1991,0.0916,0.1947,0.0002,0.0042
1114,3,0.2132,0.0836,0.2054,0.0002,0.0076
1114,4,0.2225,0.0661,0.2166,0.0002,0.0057
